Filename:	C:\Program Files\Pyris\Data\Elena S\DSC 10-30\pla_ori_1030.pdid.pdid 
Operator ID:	 
Sample ID:	PLA 
Comment: 	pla_ori_1031 run 2 
Serial Number:	536N7042301 
Data Collected:	10/31/2023 11:33:23 AM 
Sample Weight:	19.900 mg 
Display Weight:	19.900 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	C:\Program Files\Pyris\Calibrations\05-25-2023_DiamDSC_He-Cryo_1.pdic 
Date/Time:	 
Initial Conditions 
Temperature:	 0.00 °C 
Y Initial:	20.00 mW 
Sample Rate:	Fast     
Baseline Filename:	C:\Program Files\Pyris\Data\Elena S\DSC 10-30\backgr2_1030.pdid.pdid 
End Condition:	Go To Load 
Total Points in Run:	3479 
Method Steps: 
Pre-Run Actions 
Start the Run 
	Action occurs Immediately 
Switch the Gas to Helium at 20.0 ml/min  
	Action occurs Immediately 
1)	Hold for 1.0 min at 0.00°C 
 
2)	Heat from 0.00°C to 220.00°C at 5.00°C/min 
 
3)	Hold for 1.0 min at 220.00°C 
 
4)	Cool from 220.00°C to 0.00°C at 20.00°C/min 
 
5)	Hold for 1.0 min at 0.00°C 
 
1) Diamond DSC Isothermal 
	Time     	Unsubtracted	Baseline     	Program     	Sample     	Approx.     	Heat Flow      
	          	Heat Flow     	Heat Flow     	Temperature	Temperature	Gas Flow     	Calibration 
	5.150000	2.816112	-3.920102	20.754000	36.426000	0.000000	1.170320 
	5.166667	2.791653	-3.910974	20.837000	36.509000	0.000000	1.170320 
	5.183333	2.767076	-3.901962	20.920000	36.591000	0.000000	1.170320 
	5.200000	2.742499	-3.893068	21.004000	36.674000	0.000000	1.170320 
	5.216667	2.717923	-3.884408	21.087000	36.757000	0.000000	1.170320 
	5.233333	2.693346	-3.876098	21.170000	36.842000	0.000000	1.170320 
	5.250000	2.668769	-3.867672	21.254000	36.923000	0.000000	1.170320 
	5.266667	2.644075	-3.859129	21.337000	37.006000	0.000000	1.170320 
	5.283333	2.619265	-3.850468	21.420000	37.090000	0.000000	1.170320 
	5.300000	2.594571	-3.841457	21.504000	37.172000	0.000000	1.170320 
	5.316667	2.569760	-3.832445	21.587000	37.258000	0.000000	1.170320 
	5.333333	2.544949	-3.823551	21.670000	37.342000	0.000000	1.170320 
	5.350000	2.520139	-3.814657	21.754000	37.426000	0.000000	1.170320 
	5.366667	2.495328	-3.805528	21.837000	37.506000	0.000000	1.170320 
	5.383333	2.470517	-3.796400	21.920000	37.592000	0.000000	1.170320 
	5.400000	2.445706	-3.786920	22.004000	37.675000	0.000000	1.170320 
	5.416667	2.421013	-3.776855	22.087000	37.761000	0.000000	1.170320 
	5.433333	2.396085	-3.766790	22.170000	37.845000	0.000000	1.170320 
	5.450000	2.371157	-3.757194	22.254000	37.927000	0.000000	1.170320 
	5.466667	2.346229	-3.747714	22.337000	38.010000	0.000000	1.170320 
	5.483333	2.321184	-3.738937	22.420000	38.094000	0.000000	1.170320 
	5.500000	2.296256	-3.730394	22.504000	38.178000	0.000000	1.170320 
	5.516667	2.271446	-3.722084	22.587000	38.264000	0.000000	1.170320 
	5.533333	2.246518	-3.713307	22.670000	38.343000	0.000000	1.170320 
	5.550000	2.221590	-3.704529	22.754000	38.427000	0.000000	1.170320 
	5.566667	2.196545	-3.695635	22.837000	38.514000	0.000000	1.170320 
	5.583333	2.171500	-3.687326	22.920000	38.599000	0.000000	1.170320 
	5.600000	2.146456	-3.679602	23.004000	38.685000	0.000000	1.170320 
	5.616667	2.121645	-3.672112	23.087000	38.768000	0.000000	1.170320 
	5.633333	2.096717	-3.664739	23.170000	38.853000	0.000000	1.170320 
	5.650000	2.071906	-3.656897	23.254000	38.936000	0.000000	1.170320 
	5.666667	2.046978	-3.648354	23.337000	39.017000	0.000000	1.170320 
	5.683333	2.021817	-3.639109	23.420000	39.105000	0.000000	1.170320 
	5.700000	1.996538	-3.629746	23.504000	39.191000	0.000000	1.170320 
	5.716667	1.971259	-3.620735	23.587000	39.277000	0.000000	1.170320 
	5.733333	1.946097	-3.612308	23.670000	39.361000	0.000000	1.170320 
	5.750000	1.920935	-3.603999	23.754000	39.443000	0.000000	1.170320 
	5.766667	1.895656	-3.595690	23.837000	39.530000	0.000000	1.170320 
	5.783333	1.870611	-3.586678	23.920000	39.617000	0.000000	1.170320 
	5.800000	1.845449	-3.577316	24.004000	39.697000	0.000000	1.170320 
	5.816667	1.820053	-3.567953	24.087000	39.784000	0.000000	1.170320 
	5.833333	1.794423	-3.558474	24.170000	39.869000	0.000000	1.170320 
	5.850000	1.768910	-3.549462	24.254000	39.955000	0.000000	1.170320 
	5.866667	1.743397	-3.540802	24.337000	40.037000	0.000000	1.170320 
	5.883333	1.717767	-3.532375	24.420000	40.119000	0.000000	1.170320 
	5.900000	1.692489	-3.523949	24.504000	40.206000	0.000000	1.170320 
	5.916667	1.667210	-3.515640	24.587000	40.290000	0.000000	1.170320 
	5.933333	1.641931	-3.507448	24.670000	40.374000	0.000000	1.170320 
	5.950000	1.616418	-3.499255	24.754000	40.458000	0.000000	1.170320 
	5.966667	1.591022	-3.490829	24.837000	40.547000	0.000000	1.170320 
	5.983333	1.565626	-3.482637	24.920000	40.633000	0.000000	1.170320 
	6.000000	1.540113	-3.474211	25.004000	40.715000	0.000000	1.170320 
	6.016667	1.514600	-3.465667	25.087000	40.799000	0.000000	1.170320 
	6.033333	1.489204	-3.456890	25.170000	40.888000	0.000000	1.170320 
	6.050000	1.463691	-3.447761	25.254000	40.972000	0.000000	1.170320 
	6.066667	1.438178	-3.438282	25.337000	41.057000	0.000000	1.170320 
	6.083333	1.412665	-3.428568	25.420000	41.143000	0.000000	1.170320 
	6.100000	1.386918	-3.418972	25.504000	41.228000	0.000000	1.170320 
	6.116667	1.361171	-3.409726	25.587000	41.315000	0.000000	1.170320 
	6.133333	1.335424	-3.401066	25.670000	41.400000	0.000000	1.170320 
	6.150000	1.309794	-3.392522	25.754000	41.484000	0.000000	1.170320 
	6.166667	1.284164	-3.383862	25.837000	41.570000	0.000000	1.170320 
	6.183333	1.258651	-3.375085	25.920000	41.653000	0.000000	1.170320 
	6.200000	1.233255	-3.366073	26.004000	41.737000	0.000000	1.170320 
	6.216667	1.207742	-3.357062	26.087000	41.826000	0.000000	1.170320 
